LAND        ,NAME                                            ,DATUM           ,DAUER   ,WO        ,KATEGORIE                ,GENRES                                                                                                                            ,STADT                     ,BUNDESLAND       ,BESUCHER    ,URL                                  ,PREIS(AB)
Deutschland ,DARK EASTER METAL MEETING                       ,30.03. - 31.03. ,2 Tage  ,drinnen   ,Metal Festivals          ,Metal                                                                                                                             ,München                   ,keine Daten      ,keine Daten ,          ,n.v.
Deutschland ,DARK TROLL FESTIVAL                             ,09.05. - 11.05. ,3 Tage  ,draußen   ,Metal Festivals          ,Metal/Mittelalter/Rock                                                                                                            ,Bornstedt                 ,keine Daten      ,1000        ,          ,€ 99.00
Deutschland ,DAS FEST KARLSRUHE                              ,18.07. - 21.07. ,4 Tage  ,draußen   ,Stadtfeste               ,Electro/Hip-Hop/Pop/Reggae/Rock                                                                                                   ,Karlsruhe                 ,keine Daten      ,260000      ,          ,n.v.
Deutschland ,DAS GROSSE TREFFEN - FANTASY FESTIVAL           ,09.08. - 11.08. ,3 Tage  ,draußen   ,Mittelalter Festivals    ,Irish/Metal/Mittelalter/Rock                                                                                                      ,Aach                      ,keine Daten      ,12000       ,          ,€ 49.50
Deutschland ,DAS ULTIMATIVE 90ER FESTIVAL                    ,13.07.          ,1 Tag   ,draußen   ,Pop Festivals            ,Dance/Disco/Pop                                                                                                                   ,Schwarzenberg             ,keine Daten      ,1500        ,          ,€ 15.90
Deutschland ,DEICHBRAND FESTIVAL                             ,18.07. - 21.07. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Deutschrock/Electro/Hip-Hop/Metal/Pop/Punk/Rock                                                                                   ,Wurster Nordseeküste      ,keine Daten      ,60000       ,          ,€ 199.00
Deutschland ,DER DETZE ROCKT                                 ,14.06. - 15.06. ,2 Tage  ,draußen   ,Metal Festivals          ,Metal/Rock                                                                                                                        ,Daun-Rengen               ,keine Daten      ,750         ,          ,€ 66.60
Deutschland ,DESERTFEST                                      ,24.05. - 26.05. ,3 Tage  ,drinnen   ,Metal Festivals          ,Metal/Rock                                                                                                                        ,Berlin                    ,keine Daten      ,4000        ,          ,n.v.
Deutschland ,DETECT CLASSIC FESTIVAL                         ,19.07. - 21.07. ,3 Tage  ,draußen   ,Klassik Festivals        ,Electro/Klassik/Sonstiges                                                                                                         ,Fahrenwalde               ,keine Daten      ,keine Daten ,          ,n.v.
Deutschland ,DIE FESTUNG ROCKT                               ,01.06.          ,1 Tag   ,draußen   ,Punk Festivals           ,Metal/Punk/Rock/Ska                                                                                                               ,Kronach                   ,keine Daten      ,2600        ,          ,€ 25.00
Deutschland ,DIXIEFEST MARKDORF                              ,05.05.          ,1 Tag   ,draußen   ,Jazz Festivals           ,Country/Jazz                                                                                                                      ,Markdorf                  ,keine Daten      ,keine Daten ,          ,€ 0.00
Deutschland ,DOCKLANDS FESTIVAL                              ,08.06.          ,1 Tag   ,draußen   ,Electro Festivals        ,Electro                                                                                                                           ,Münster                   ,keine Daten      ,15000       ,          ,€ 33.00
Deutschland ,DONG OPEN AIR                                   ,11.07. - 13.07. ,3 Tage  ,draußen   ,Metal Festivals          ,Metal                                                                                                                             ,Neukirchen-Vluyn          ,keine Daten      ,20000       ,          ,€ 0.00
Deutschland ,DORF OF TOMORROW FESTIVAL                       ,03.08.          ,1 Tag   ,draußen   ,Electro Festivals        ,Dance/Electro/Goa/Hardcore (Electro)/House/Sonstiges/Trance                                                                       ,Möckmühl-Korb             ,keine Daten      ,1000        ,          ,€ 20.00
Deutschland ,DRUMHERUM FESTIVAL                              ,16.05. - 20.05. ,5 Tage  ,draußen   ,Volksmusik Festivals     ,Schlager/Volksmusik                                                                                                               ,Regen                     ,keine Daten      ,50000       ,          ,€ 0.00
Deutschland ,E-TROPOLIS FESTIVAL                             ,02.03.          ,1 Tag   ,drinnen   ,Gothic Festivals         ,Gothic                                                                                                                            ,Oberhausen                ,keine Daten      ,3800        ,          ,€ 66.00
Deutschland ,EASTER CROSS FESTIVAL                           ,30.03. - 31.03. ,2 Tage  ,drinnen   ,Metal Festivals          ,Hardcore (Metal)/Metal/Punk/Rock                                                                                                  ,Oberndorf am Neckar       ,keine Daten      ,2500        ,          ,n.v.
Deutschland ,ELBENWALD FESTIVAL                              ,02.08. - 04.08. ,3 Tage  ,draußen   ,Conventions              ,Folk/Gothic/Hardcore (Metal)/Klassik/Metal                                                                                        ,Cottbus                   ,keine Daten      ,15000       ,          ,€ 99.00
Deutschland ,ELBJAZZ FESTIVAL                                ,07.06. - 08.06. ,2 Tage  ,draußen   ,Jazz Festivals           ,Jazz                                                                                                                              ,Hamburg                   ,keine Daten      ,29000       ,          ,€ 115.00
Deutschland ,ELECTRIFINITY FESTIVAL                          ,21.06. - 23.06. ,3 Tage  ,draußen   ,Electro Festivals        ,Dance/Electro/Hardcore (Electro)/House                                                                                            ,Bad Aibling               ,keine Daten      ,keine Daten ,          ,€ 39.00
Deutschland ,ELECTRISIZE FESTIVAL                            ,09.08. - 11.08. ,3 Tage  ,draußen   ,Electro Festivals        ,Electro/Electronic Dance Music (EDM)                                                                                              ,Erkelenz                  ,keine Daten      ,40000       ,          ,€ 135.00
